date,unit_id,make,model,year,engine,mpghighway,mpgcity,tankSizeGallons,fuelcard_id,status,site_city,quantity,unit_of_measure,price,odometer,currency,site_state
"2023-09-07 22:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,16.492,G,70.24,128864,USD,NM
"2023-09-06 23:06:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.839,G,75.98,128701,USD,NM
"2023-09-05 22:48:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,16.847,G,74.11,128523,USD,NM
"2023-09-05 10:28:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,22.059,G,97.04,128381,USD,NM
"2023-09-03 22:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.706,G,86.69,128161,USD,NM
"2023-09-02 22:55:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.654,G,77.66,127969,USD,NM
"2023-09-01 22:56:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.818,G,87.18,127795,USD,NM
"2023-09-01 10:31:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.424,G,76.65,127605,USD,NM
"2023-08-31 10:14:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.9,G,91.94,127426,USD,NM
"2023-08-29 23:04:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.495,G,81.86,127248,USD,NM
"2023-08-25 22:57:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.844,G,79.13,127058,USD,NM
"2023-08-24 22:56:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.711,G,72.6,126881,USD,NM
"2023-08-23 22:57:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.314,G,75.07,126709,USD,NM
"2023-08-22 23:00:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.897,G,73.36,126529,USD,NM
"2023-08-21 23:08:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.909,G,85.71,126350,USD,NM
"2023-08-17 10:12:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.765,G,81.02,125957,USD,NM
"2023-08-16 10:04:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.553,G,76.05,125757,USD,NM
"2023-08-15 10:01:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,25.081,G,102.81,125582,USD,NM
"2023-08-14 10:13:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,25.533,G,104.66,125332,USD,NM
"2023-08-11 09:50:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,23.46,G,93.82,125081,USD,NM
"2023-08-10 10:07:51",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,21.797,G,87.17,124855,USD,NM
"2023-08-09 09:51:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,27.526,G,110.08,124638,USD,NM
"2023-08-08 09:47:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.899,G,75.58,124368,USD,NM
"2023-08-07 09:46:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,26.634,G,106.51,124182,USD,NM
"2023-08-06 10:19:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.222,G,80.87,123947,USD,NM
"2023-08-05 10:21:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,28.484,G,113.91,123763,USD,NM
"2023-08-04 10:26:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.164,G,76.64,123483,USD,NM
"2023-08-03 10:31:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.302,G,77.19,123294,USD,NM
"2023-08-02 10:38:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.48,G,81.9,123111,USD,NM
"2023-08-01 10:30:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.17,G,65.23,122910,USD,NM
"2023-07-28 10:35:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.344,G,69.69,122731,USD,NM
"2023-07-27 10:30:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.502,G,70.29,122549,USD,NM
"2023-07-26 10:36:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.629,G,78.37,122367,USD,NM
"2023-07-25 12:04:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Loving,22.67,G,86.12,1,USD,NM
"2023-07-25 10:27:40",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.634,G,74.59,122155,USD,NM
"2023-07-24 10:30:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.965,G,79.65,121962,USD,NM
"2023-07-23 10:28:48",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.487,G,66.43,121762,USD,NM
"2023-07-22 10:18:05",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,21.859,G,83.04,121585,USD,NM
"2023-07-21 10:29:06",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.399,G,66.1,121392,USD,NM
"2023-07-20 10:31:29",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.393,G,69.88,121210,USD,NM
"2023-07-20 10:28:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,0.182,G,0.65,121210,USD,NM
"2023-07-19 10:31:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,0.303,G,1.08,121030,USD,NM
"2023-07-19 10:27:36",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.272,G,69.42,121030,USD,NM
"2023-07-18 10:24:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,0.272,G,0.97,120849,USD,NM
"2023-07-18 10:21:49",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.675,G,74.75,120849,USD,NM
"2023-07-14 11:15:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.721,G,63.07,120671,USD,NM
